PlayerNameID,키(cm)
214167495,193
818167495,193
270193105,195
289170084,198
300215698,191
826226753,190
840206585,189
206177683,183
216192448,187
233192119,199
291262621,199
300193336,193
300235840,187
814223885,193
834192119,200
834215698,191
840188943,189
206200389,189
251167948,188
253167495,193
265234102,188
280230621,196
291220901,183
300192119,200
828209981,195
834190941,192
852001179,192
206167948,188
218199987,185
513215698,191
825210257,188
845242179,194
206024630,188
834173426,193
845233267,191
846193080,192
251150724,196
268051539,197
289176550,183
300224836,202
802051539,197
825192119,200
828215698,191
853233286,187
214051539,197
237212831,191
283192448,187
291211738,195
300210257,188
300230621,196
300243830,200
825051539,197
846212831,193
231024630,188
251186153,196
256168435,192
256210257,188
265192119,199
324024630,188
844233306,188
206203042,196
217212831,191
231164835,190
246186569,192
252048940,196
256186153,195
283224251,194
283230621,196
284216065,192
300259532,191
506215698,191
513204883,187
517167495,193
517177683,183
802167948,188
810234577,192
825212831,193
828200389,188
829048940,196
829204883,187
834210257,188
834212831,193
852204092,193
854230621,196
856240091,194
856259532,193
101000488,188
206174543,184
234174543,184
251051539,197
252167948,188
264230621,196
265233306,188
300227290,194
300262621,199
517204883,187
825206585,188
852189117,187
206048940,196
218191655,187
231167495,193
251001179,191
251167495,193
251192119,199
253192119,199
265186153,195
270221087,189
274192119,199
283211101,188
284179783,197
300177683,183
300193080,192
300219836,188
300243675,206
300269626,194
323186153,196
802167495,193
804262621,199
810225116,190
828212831,193
829192119,199
834230621,196
836167948,188
848190941,192
848212831,191
848225116,190
201051539,197
206203775,189
206210257,188
206212831,191
206215316,189
214192448,187
217177683,183
231173426,193
246199987,188
252167495,193
253002147,197
264190941,192
265225116,190
270233267,191
270233934,191
280215698,191
300073562,190
300192448,187
300202811,195
300211738,195
508194404,190
515212831,193
517228383,195
804263063,192
828192448,187
829001179,192
836230621,196
851204935,185
851230872,189
101001179,192
206192448,187
207193080,193
216162835,193
216163587,189
231173373,192
234190053,193
237199987,188
237210257,188
246190778,189
251048940,196
253177683,183
253230869,190
256051539,197
256199987,185
260186569,192
270234577,187
280210257,188
280243952,192
283170597,188
283199482,184
289192119,199
300167495,193
300186569,192
300238186,199
300243585,189
502163155,193
506230621,196
513186153,195
513240091,194
517190941,192
517202811,195
804250753,199
810200389,188
810230621,196
826205186,196
828167495,193
829235073,195
834167495,193
834220901,183
840215316,189
844224836,202
846164835,190
852200159,185
856228789,197
206163587,189
206167495,193
206188943,189
207210257,188
214212831,191
216167948,188
216200389,188
237174543,184
242186153,195
256167495,193
256192448,187
283167495,193
283186569,192
289051539,197
300186153,196
300220901,183
300251752,189
300258885,194
322168435,192
502192119,199
508206218,188
508215698,191
511186153,195
517230872,189
802005479,185
806212432,189
814186569,192
826204935,185
828192119,199
828230621,196
840193080,192
845212831,193
848051539,197
848167948,188
852223885,193
201190053,193
206178005,190
207051539,197
207212831,191
210230872,189
216230621,196
217210257,188
218221087,189
225136594,184
231146748,196
231163155,193
234001179,192
234051539,197
234162835,193
234167948,188
234173373,192
234190941,192
237051539,197
237192119,199
246173373,192
251178005,190
253241671,187
280167495,193
280240913,188
283230869,190
284001179,192
284188943,189
