GK_ID,피슈팅,선방
828167948,4,1
856235840,4,2
856235840,0,0
844251752,4,3
856235840,6,1
251051539,4,2
856235840,4,1
828230621,8,4
233163587,3,0
856235840,4,0
856235840,6,3
834220901,3,1
856235840,4,3
834230621,1,1
856235840,6,4
251192119,6,2
828167948,5,1
840206585,1,0
206203841,3,3
828167948,2,0
828167948,6,4
300230872,3,0
828167948,3,2
234192119,4,0
828167948,4,2
264230621,4,2
265186153,2,0
828230621,8,3
280210257,3,0
828230621,3,0
828230621,5,2
251167495,5,3
828230621,3,2
300233267,3,0
828230621,4,2
300192119,3,0
260186569,2,1
828230621,8,2
256186153,5,4
828230621,4,4
828230621,9,4
825051539,5,3
251167495,7,3
828230621,4,1
260213951,4,1
834220901,9,5
834220901,3,3
265225116,4,3
300220901,4,3
834220901,7,3
834220901,1,0
206167948,4,0
834220901,3,1
508194404,2,2
834220901,5,2
206199482,13,6
300193786,7,3
834230621,7,2
300233164,5,3
834230621,4,1
206177683,3,2
834230621,3,1
300228789,4,2
834230621,5,4
283211101,4,2
834230621,4,2
508192119,2,1
834230621,5,2
237212831,3,2
834230621,4,2
845233267,5,3
834230621,4,4
834230621,5,3
101048940,6,3
251192119,3,2
300190941,6,2
251192119,2,0
515215698,0,0
251192119,16,4
300243952,0,0
251192119,5,1
256051539,5,1
251192119,5,3
265186153,2,1
251192119,5,2
517235840,0,0
251192119,6,3
289192119,7,4
251192119,2,1
814186569,3,1
251192119,5,0
836230621,5,1
206203841,5,2
834230621,3,2
206203841,3,1
214167495,3,1
206203841,6,3
300243675,7,2
834242948,5,2
300230872,3,2
846164835,4,2
253230621,5,2
265192119,1,0
846164835,4,2
201051539,2,0
846164835,4,1
206177683,0,0
234192119,5,3
848192119,6,3
234192119,1,1
234192119,6,4
300230621,1,1
517230869,4,3
234192119,3,1
264230621,3,0
300192448,4,1
270193105,5,3
264230621,7,5
264230621,2,2
260192119,5,1
804262621,10,5
264230621,7,4
264230621,3,2
264230621,5,1
234173373,3,1
264230621,5,1
251167495,3,1
264230621,8,4
834210257,7,3
264230621,6,4
834212831,3,2
264230621,6,5
845230869,9,6
829051539,3,1
851204935,2,1
845230869,7,5
848167948,7,3
845230869,6,3
300243830,4,0
845230869,12,8
828226753,6,2
845230869,7,5
517230621,3,1
845230869,3,1
217199987,5,1
845230869,7,2
206024630,7,3
845230869,3,1
253167495,0,0
845230869,3,0
829235073,7,4
826200389,1,0
506001179,7,4
829235073,5,1
280235073,3,2
829235073,5,0
834230621,4,2
829235073,4,1
829235073,4,3
256167495,6,4
825210257,4,2
829235073,4,1
265192119,7,1
237212831,5,3
256186153,7,3
265192119,8,3
265186153,4,1
815224836,5,3
265186153,7,2
828200389,3,2
268005479,2,1
265186153,5,3
265186153,6,5
853212432,4,3
265186153,7,2
265234102,10,5
834230621,3,0
265186153,7,4
265186153,4,0
270193105,5,2
265225116,6,2
265186153,4,2
265186153,5,2
517224003,3,1
280210257,3,1
829235073,7,7
280210257,7,3
835016254,5,2
280210257,4,2
828212831,4,2
280210257,4,3
513186153,2,1
280210257,4,3
802182494,4,2
280210257,6,4
251051539,3,1
280210257,5,4
246199987,5,3
280210257,5,2
251051539,8,4
280210257,7,4
840206585,4,2
291262621,2,2
251167495,7,2
273226753,1,0
251167495,2,2
300194404,5,4
251167495,3,1
251192119,3,2
251167495,7,2
289051539,2,0
251167495,4,1
237212831,2,1
