PlayerNameID,급여,OVR
214167495,15,91
818167495,26,115
270193105,17,100
289170084,19,103
300215698,8,77
826226753,23,111
840206585,23,112
206177683,11,81
216192448,15,94
233192119,17,97
291262621,19,105
300193336,5,66
300235840,5,73
814223885,22,109
834192119,24,116
834215698,24,112
840188943,23,112
206200389,13,87
251167948,18,102
253167495,16,94
265234102,18,101
280230621,17,98
291220901,20,108
300192119,10,80
828209981,20,106
834190941,23,112
852001179,26,117
206167948,11,85
218199987,13,92
513215698,16,98
825210257,24,113
845242179,23,113
206024630,12,82
834173426,21,108
845233267,24,115
846193080,23,109
251150724,18,101
268051539,21,106
289176550,21,107
300224836,6,72
802051539,23,110
825192119,24,113
828215698,20,104
853233286,24,115
214051539,16,92
237212831,17,99
283192448,21,107
291211738,21,107
300210257,7,76
300230621,10,79
300243830,5,67
825051539,25,114
846212831,25,114
231024630,18,99
251186153,10,82
256168435,19,103
256210257,20,105
265192119,20,104
324024630,5,67
844233306,25,116
206203042,10,80
217212831,16,97
231164835,15,94
246186569,16,97
252048940,20,104
256186153,19,102
283224251,17,99
283230621,22,108
284216065,16,96
300259532,7,75
506215698,12,87
513204883,14,93
517167495,17,98
517177683,17,97
802167948,22,110
810234577,19,103
825212831,24,113
828200389,20,104
829048940,24,112
829204883,21,109
834210257,19,104
834212831,23,115
852204092,24,114
854230621,29,122
856240091,26,116
856259532,24,113
101000488,22,112
206174543,9,79
234174543,15,95
251051539,19,103
252167948,19,103
264230621,20,105
265233306,19,103
300227290,5,71
300262621,7,75
517204883,16,95
825206585,23,111
852189117,23,112
206048940,12,84
218191655,10,80
231167495,19,101
251001179,20,104
251167495,19,102
251192119,17,97
253192119,18,100
265186153,20,105
270221087,17,100
274192119,21,106
283211101,17,100
284179783,19,102
300177683,7,77
300193080,7,76
300219836,5,66
300243675,5,66
300269626,6,72
323186153,9,77
802167495,24,112
804262621,17,101
810225116,20,107
828212831,22,109
829192119,25,114
834230621,22,116
836167948,24,113
848190941,25,114
848212831,27,118
848225116,25,115
201051539,12,80
206203775,9,78
206210257,12,84
206212831,11,82
206215316,11,82
214192448,15,91
217177683,12,83
231173426,14,93
246199987,15,96
252167495,21,105
253002147,16,96
264190941,18,100
265225116,17,99
270233267,16,99
270233934,18,102
280215698,15,102
300073562,5,73
300192448,8,77
300202811,7,76
300211738,5,71
508194404,12,86
515212831,18,101
517228383,15,92
804263063,17,98
828192448,20,104
829001179,24,113
836230621,25,114
851204935,25,115
851230872,24,116
101001179,23,113
206192448,13,85
207193080,11,82
216162835,16,95
216163587,15,92
231173373,16,94
234190053,16,96
237199987,14,94
237210257,17,99
246190778,15,93
251048940,18,100
253177683,17,99
253230869,18,101
256051539,20,105
256199987,15,96
260186569,9,82
270234577,17,101
280210257,17,110
280243952,15,94
283170597,18,102
283199482,19,103
289192119,22,109
300167495,8,76
300186569,5,66
300238186,5,71
300243585,5,66
502163155,11,82
506230621,14,89
513186153,16,96
513240091,15,93
517190941,16,96
517202811,17,97
804250753,17,100
810200389,21,110
810230621,21,106
826205186,24,113
828167495,25,114
829235073,22,110
834167495,21,105
834220901,22,116
840215316,23,112
844224836,26,118
846164835,22,110
852200159,25,115
856228789,24,111
206163587,11,83
206167495,15,89
206188943,9,79
207210257,12,85
214212831,13,85
216167948,15,94
216200389,16,95
237174543,18,101
242186153,13,89
256167495,21,105
256192448,20,104
283167495,23,109
283186569,19,102
289051539,22,109
300186153,7,75
300220901,8,78
300251752,6,75
300258885,5,70
322168435,5,69
502192119,13,89
508206218,9,80
508215698,14,91
511186153,15,93
517230872,16,95
802005479,23,112
806212432,17,103
814186569,22,109
826204935,23,110
828192119,23,110
828230621,22,108
840193080,26,115
845212831,27,118
848051539,27,118
848167948,25,115
852223885,23,112
201190053,15,88
206178005,11,82
207051539,15,90
207212831,13,87
210230872,9,78
216230621,16,94
217210257,12,85
218221087,14,93
225136594,17,97
231146748,16,96
231163155,15,93
234001179,18,100
234051539,17,97
234162835,15,92
234167948,16,97
234173373,14,91
234190941,13,88
237051539,19,102
237192119,19,102
246173373,17,96
251178005,19,103
253241671,16,96
280167495,19,102
280240913,8,78
283230869,19,103
284001179,17,98
284188943,17,99
291227127,21,107
300206585,5,72
300212831,10,80
300226753,5,72
300228789,6,71
300232229,5,68
300233934,5,70
300234642,6,72
300277823,5,66
501215698,7,80
503233306,9,82
513192448,16,98
513206585,14,92
517192563,16,96
517204935,17,101
517211738,15,92
517215316,16,96
517215698,17,100
517220901,18,102
517259532,16,100
806266323,14,93
827051539,20,104
829189117,22,109
830212432,24,112
834235073,23,109
834246139,19,106
836005479,24,115
840214979,24,113
840242948,25,114
845230869,27,118
848192119,26,117
851220901,25,117
101005479,22,112
206193080,15,90
207000488,13,87
210193080,16,93
210231691,13,88
216190053,15,93
217203042,11,81
234192119,16,95
251002147,12,85
260167495,20,102
267244020,19,105
283212151,18,101
289190053,23,110
300192563,6,73
300193105,5,70
300194404,5,69
300200389,10,79
300201095,5,69
300233189,5,65
300233306,6,73
300234102,5,67
300240913,5,71
300243311,5,68
300254803,5,71
300262989,5,55
300263798,5,67
300263887,5,67
300270821,5,67
300278394,5,57
501140293,7,81
508163489,12,86
511220901,12,86
511230621,17,95
517200389,18,101
517212831,19,104
517223885,16,94
517230869,17,97
517235073,17,100
517251752,16,97
802048940,23,111
805252662,20,104
825234642,24,112
827048940,21,107
828226753,19,103
834202811,25,115
834223686,21,108
834235840,22,109
845234642,26,116
848000488,27,118
852186153,25,115
852192448,26,116
853210941,24,115
856235840,23,112
101048940,22,110
101238380,24,113
111051539,22,109
201192119,13,82
201193080,12,81
206164835,9,79
206186153,11,82
206230621,11,81
207167495,16,90
210230621,14,90
214001179,15,92
214192119,13,86
216192563,15,93
217234642,12,87
231193080,18,100
234167495,18,98
237165735,15,94
237193105,16,97
242192119,13,87
242192448,14,90
246193105,16,98
251164835,17,99
252051539,19,102
252162835,19,102
252163587,18,101
252178005,18,100
253168435,13,86
253204935,20,103
254048940,20,105
256005479,19,104
256193105,16,98
260194911,6,75
260230621,18,100
261044897,19,103
277222229,18,101
279212831,22,108
280235073,18,101
280241050,17,99
283002147,19,103
283186153,21,106
293212432,14,93
294237778,14,91
294238570,15,96
300190941,6,74
300193786,5,66
300199987,5,72
300207557,5,66
300215316,5,74
300216065,5,68
300225395,5,65
300228279,5,66
300228413,5,71
300234777,5,66
300235073,8,77
300242948,5,68
300259065,5,67
300263063,5,69
319005479,6,72
503167948,12,88
508186153,14,90
511215698,15,94
513203841,16,95
513234642,15,94
515192119,18,101
515240091,15,95
517167948,15,96
517230621,18,101
517254803,15,94
802163587,22,109
805212432,22,109
807212831,25,114
810206585,19,102
810235073,22,113
814194404,21,108
815215522,20,104
825048940,25,114
825192448,24,113
825200159,22,109
826192563,22,110
828202811,20,105
829051539,24,112
829199987,21,109
829212831,24,113
830228130,22,110
834235413,19,103
834250753,22,111
834251752,23,110
840200389,25,115
844193080,27,118
848252154,26,116
851210676,23,114
852189908,23,113
853212432,25,115
853232065,24,114
853238570,26,117
855192119,27,118
855212831,27,119
101051539,22,109
101190053,23,110
201005479,13,83
201167495,15,85
201167948,12,81
206005479,10,81
206173373,9,79
206192119,13,87
206193041,13,88
206193105,9,79
206199987,10,80
206203841,7,76
206206585,11,81
206208104,7,77
207190053,15,90
207192563,13,86
207204935,12,82
211193080,17,97
214005479,14,91
214024630,15,92
214048940,16,92
214150724,12,85
214167948,13,87
214186569,12,84
216121937,12,85
216167495,17,96
216189690,14,89
216234642,11,85
217163264,9,79
218200726,14,91
218215316,13,90
221192119,13,86
231150724,17,98
231176550,15,92
234180739,12,85
234201325,12,85
237190053,18,101
241190941,16,97
242024630,13,85
242194404,13,88
242210257,14,92
246211990,15,96
247191924,17,99
251024630,12,85
251207998,11,83
251238380,18,100
253167948,16,97
253207998,17,99
256186569,18,100
256190778,18,100
260163264,8,78
260193080,19,102
260210257,16,93
260213951,8,79
260226753,13,86
260243952,6,75
264210385,19,103
265228413,18,100
268048940,21,106
272170597,15,94
274005479,21,108
276234577,16,98
280167948,17,99
280172203,10,80
280204092,18,101
280206585,18,104
280212831,18,99
283193698,19,103
283200316,18,102
284146748,18,100
284177644,16,98
289001179,23,111
289005479,22,111
289019580,18,102
289048940,22,108
289167948,22,109
289178005,19,103
289193041,21,109
300167948,5,70
300186148,5,68
300188943,6,73
300200159,5,72
300203841,6,73
300204883,6,73
300210358,5,66
300211101,5,66
300211515,5,67
300212432,5,68
300213407,5,58
300215363,5,69
300223686,5,68
300224003,6,72
300224251,5,70
300225116,5,74
300225149,5,69
300227370,5,68
