PlayerNameID,시즌,열1,선수이름,급여,OVR
100000041,ICON TM (ICON The Moment),ICON TM,이니에스타,에러,에러
100000051,ICON TM (ICON The Moment),ICON TM,앨런 시어러,에러,에러
100000240,ICON TM (ICON The Moment),ICON TM,로이 킨,에러,에러
100000246,ICON TM (ICON The Moment),ICON TM,폴 스콜스,에러,에러
100000250,ICON TM (ICON The Moment),ICON TM,데이비드 베컴,에러,에러
100000388,ICON TM (ICON The Moment),ICON TM,솔 캠벨,에러,에러
100000488,ICON TM (ICON The Moment),ICON TM,올리버 칸,에러,에러
100000570,ICON TM (ICON The Moment),ICON TM,제이-제이 오코차,에러,에러
100001025,ICON TM (ICON The Moment),ICON TM,후이 코스타,에러,에러
100001040,ICON TM (ICON The Moment),ICON TM,호베르투 카를루스,에러,에러
100001041,ICON TM (ICON The Moment),ICON TM,하비에르 사네티,에러,에러
100001075,ICON TM (ICON The Moment),ICON TM,델피에로,에러,에러
100001088,ICON TM (ICON The Moment),ICON TM,알레산드로 네스타,에러,에러
100001109,ICON TM (ICON The Moment),ICON TM,파올로 말디니,에러,에러
100001114,ICON TM (ICON The Moment),ICON TM,로베르토 바조,에러,에러
100001116,ICON TM (ICON The Moment),ICON TM,마르셀 드사이,에러,에러
100001179,ICON TM (ICON The Moment),ICON TM,잔루이지 부폰,에러,에러
100001183,ICON TM (ICON The Moment),ICON TM,파비오 칸나바로,에러,에러
100001201,ICON TM (ICON The Moment),ICON TM,잔프랑코 졸라,에러,에러
100001238,ICON TM (ICON The Moment),ICON TM,F. 토티,에러,에러
100001256,ICON TM (ICON The Moment),ICON TM,클라렌스 세이도르프,에러,에러
100001397,ICON TM (ICON The Moment),ICON TM,지네딘 지단,에러,에러
100001419,ICON TM (ICON The Moment),ICON TM,파트리크 비에이라,에러,에러
100001605,ICON TM (ICON The Moment),ICON TM,로베르 피레스,에러,에러
100001615,ICON TM (ICON The Moment),ICON TM,릴리앙 튀람,에러,에러
100001620,ICON TM (ICON The Moment),ICON TM,에마뉘엘 프티,에러,에러
100001625,ICON TM (ICON The Moment),ICON TM,티에리 앙리,에러,에러
100001668,ICON TM (ICON The Moment),ICON TM,클로드 마켈렐레,에러,에러
100001845,ICON TM (ICON The Moment),ICON TM,올레 군나르 솔샤르,에러,에러
100003647,ICON TM (ICON The Moment),ICON TM,미하엘 발락,에러,에러
100004000,ICON TM (ICON The Moment),ICON TM,데니스 베르캄프,에러,에러
100004202,ICON TM (ICON The Moment),ICON TM,젠나로 가투소,에러,에러
100004231,ICON TM (ICON The Moment),ICON TM,히바우두,에러,에러
100004833,ICON TM (ICON The Moment),ICON TM,H. 스토이치코프,에러,에러
100005003,ICON TM (ICON The Moment),ICON TM,카푸,에러,에러
100005099,ICON TM (ICON The Moment),ICON TM,잔루카 잠브로타,에러,에러
100005419,ICON TM (ICON The Moment),ICON TM,마이클 오언,에러,에러
100005467,ICON TM (ICON The Moment),ICON TM,제이미 캐러거,에러,에러
100005471,ICON TM (ICON The Moment),ICON TM,프랭크 램파드,에러,에러
100005479,ICON TM (ICON The Moment),ICON TM,카시야스,에러,에러
100005589,ICON TM (ICON The Moment),ICON TM,루이스 피구,에러,에러
100005673,ICON TM (ICON The Moment),ICON TM,야리 리트마넨,에러,에러
100005680,ICON TM (ICON The Moment),ICON TM,P. 클라위베르트,에러,에러
100005984,ICON TM (ICON The Moment),ICON TM,다비드 트레제게,에러,에러
100006235,ICON TM (ICON The Moment),ICON TM,파벨 네드베드,에러,에러
100006975,ICON TM (ICON The Moment),ICON TM,프레디 융베리,에러,에러
100007289,ICON TM (ICON The Moment),ICON TM,리오 퍼디난드,에러,에러
100007512,ICON TM (ICON The Moment),ICON TM,에르난 크레스포,에러,에러
100007518,ICON TM (ICON The Moment),ICON TM,베론,에러,에러
100007763,ICON TM (ICON The Moment),ICON TM,안드레아 피를로,에러,에러
100007826,ICON TM (ICON The Moment),ICON TM,로빈 반페르시,에러,에러
100009676,ICON TM (ICON The Moment),ICON TM,사뮈엘 에토,에러,에러
100010264,ICON TM (ICON The Moment),ICON TM,뤼트 반니스텔로이,에러,에러
100010535,ICON TM (ICON The Moment),ICON TM,차비,에러,에러
100011141,ICON TM (ICON The Moment),ICON TM,미로슬라프 클로제,에러,에러
100013038,ICON TM (ICON The Moment),ICON TM,카를레스 푸욜,에러,에러
100013128,ICON TM (ICON The Moment),ICON TM,안드리 셰우첸코,에러,에러
100013383,ICON TM (ICON The Moment),ICON TM,나카타 히데토시,에러,에러
100013743,ICON TM (ICON The Moment),ICON TM,스티븐 제라드,에러,에러
100020289,ICON TM (ICON The Moment),ICON TM,야야 투레,에러,에러
100023174,ICON TM (ICON The Moment),ICON TM,리켈메,에러,에러
100028130,ICON TM (ICON The Moment),ICON TM,호나우지뉴,에러,에러
100031432,ICON TM (ICON The Moment),ICON TM,디디에 드로그바,에러,에러
100034079,ICON TM (ICON The Moment),ICON TM,애슐리 콜,에러,에러
100037576,ICON TM (ICON The Moment),ICON TM,호나우두,에러,에러
100039943,ICON TM (ICON The Moment),ICON TM,박지성,에러,에러
100041236,ICON TM (ICON The Moment),ICON TM,즐라탄,에러,에러
100045197,ICON TM (ICON The Moment),ICON TM,샤비 알론소,에러,에러
100045661,ICON TM (ICON The Moment),ICON TM,라울,에러,에러
100045674,ICON TM (ICON The Moment),ICON TM,마이클 에시앙,에러,에러
100048940,ICON TM (ICON The Moment),ICON TM,페트르 체흐,에러,에러
100049369,ICON TM (ICON The Moment),ICON TM,페르난도 토레스,에러,에러
100051539,ICON TM (ICON The Moment),ICON TM,에드윈 반데르사르,에러,에러
100052241,ICON TM (ICON The Moment),ICON TM,헨릭 라르손,에러,에러
100054050,ICON TM (ICON The Moment),ICON TM,웨인 루니,에러,에러
100121939,ICON TM (ICON The Moment),ICON TM,필립 람,에러,에러
100121944,ICON TM (ICON The Moment),ICON TM,B. 슈바인슈타이거,에러,에러
100138449,ICON TM (ICON The Moment),ICON TM,카카,에러,에러
100138956,ICON TM (ICON The Moment),ICON TM,조르조 키엘리니,에러,에러
100140601,ICON TM (ICON The Moment),ICON TM,네마냐 비디치,에러,에러
100156353,ICON TM (ICON The Moment),ICON TM,루이스 에르난데스,에러,에러
100156616,ICON TM (ICON The Moment),ICON TM,프랑크 리베리,에러,에러
100161840,ICON TM (ICON The Moment),ICON TM,페르난도 이에로,에러,에러
100166124,ICON TM (ICON The Moment),ICON TM,게오르게 하지,에러,에러
100166149,ICON TM (ICON The Moment),ICON TM,우고 산체스,에러,에러
100166691,ICON TM (ICON The Moment),ICON TM,지쿠,에러,에러
100166906,ICON TM (ICON The Moment),ICON TM,프랑코 바레시,에러,에러
100167135,ICON TM (ICON The Moment),ICON TM,카를루스 아우베르투,에러,에러
100167198,ICON TM (ICON The Moment),ICON TM,에릭 칸토나,에러,에러
100167680,ICON TM (ICON The Moment),ICON TM,로날트 쿠만,에러,에러
100168473,ICON TM (ICON The Moment),ICON TM,베켄바워,에러,에러
100173731,ICON TM (ICON The Moment),ICON TM,가레스 베일,에러,에러
100176676,ICON TM (ICON The Moment),ICON TM,마르셀루,에러,에러
100182521,ICON TM (ICON The Moment),ICON TM,토니 크로스,에러,에러
100190042,ICON TM (ICON The Moment),ICON TM,마라도나,에러,에러
100190043,ICON TM (ICON The Moment),ICON TM,펠레,에러,에러
100190044,ICON TM (ICON The Moment),ICON TM,보비 무어,에러,에러
100190045,ICON TM (ICON The Moment),ICON TM,요한 크루이프,에러,에러
100190046,ICON TM (ICON The Moment),ICON TM,소크라테스,에러,에러
100190048,ICON TM (ICON The Moment),ICON TM,게르트 뮐러,에러,에러
100190053,ICON TM (ICON The Moment),ICON TM,페터 슈마이켈,에러,에러
100191189,ICON TM (ICON The Moment),ICON TM,로타어 마테우스,에러,에러
100191208,ICON TM (ICON The Moment),ICON TM,차범근,에러,에러
100191695,ICON TM (ICON The Moment),ICON TM,부트라게뇨,에러,에러
100192181,ICON TM (ICON The Moment),ICON TM,마르코 반바스텐,에러,에러
100192190,ICON TM (ICON The Moment),ICON TM,둥가,에러,에러
100214098,ICON TM (ICON The Moment),ICON TM,프랑크 레이카르트,에러,에러
100214100,ICON TM (ICON The Moment),ICON TM,루드 굴리트,에러,에러
100214101,ICON TM (ICON The Moment),ICON TM,파울루 푸트리,에러,에러
100214267,ICON TM (ICON The Moment),ICON TM,게리 리네커,에러,에러
100214649,ICON TM (ICON The Moment),ICON TM,다보르 슈케르,에러,에러
100215732,ICON TM (ICON The Moment),ICON TM,올리버 비어호프,에러,에러
100221162,ICON TM (ICON The Moment),ICON TM,가브리엘 바티스투타,에러,에러
100222000,ICON TM (ICON The Moment),ICON TM,미카엘 라우드루프,에러,에러
100222481,ICON TM (ICON The Moment),ICON TM,로랑 블랑,에러,에러
100226764,ICON TM (ICON The Moment),ICON TM,조지 베스트,에러,에러
100230025,ICON TM (ICON The Moment),ICON TM,보비 찰턴,에러,에러
100238380,ICON TM (ICON The Moment),ICON TM,레프 야신,에러,에러
100242519,ICON TM (ICON The Moment),ICON TM,에우제비우,에러,에러
100247515,ICON TM (ICON The Moment),ICON TM,존 반스,에러,에러
100247553,ICON TM (ICON The Moment),ICON TM,가린샤,에러,에러
100247699,ICON TM (ICON The Moment),ICON TM,케니 달글리시,에러,에러
100247703,ICON TM (ICON The Moment),ICON TM,이언 러시,에러,에러
100248146,ICON TM (ICON The Moment),ICON TM,이언 라이트,에러,에러
100254642,ICON TM (ICON The Moment),ICON TM,페렌츠 푸스카스,에러,에러
100268513,ICON TM (ICON The Moment),ICON TM,자이르지뉴,에러,에러
101000001,ICON (ICON),ICON,데이비드 시먼,에러,에러
101000041,ICON (ICON),ICON,이니에스타,에러,에러
101000051,ICON (ICON),ICON,앨런 시어러,에러,에러
101000195,ICON (ICON),ICON,로비 파울러,에러,에러
