날짜,GK_ID,강화단계,피슈팅,선방
2026-04-18,856235840,9,7,5
2026-04-18,218199987,8,2,1
2026-04-18,856235840,9,5,3
2026-04-18,256051539,8,3,2
2026-04-18,856235840,9,5,2
2026-04-18,300238186,8,1,0
2026-04-18,828212831,8,3,1
2026-04-18,856235840,9,4,2
2026-04-18,856235840,9,8,3
2026-04-18,324024630,12,6,2
2026-04-18,856235840,9,7,4
2026-04-18,265192119,8,5,3
2026-04-18,856235840,9,4,2
2026-04-18,216200389,8,3,2
2026-04-17,814186569,9,3,1
2026-04-17,856235840,9,2,1
2026-04-17,856235840,9,1,0
2026-04-17,300192119,8,4,1
2026-04-17,253192119,9,2,1
2026-04-17,856235840,9,5,1
2026-04-17,856235840,9,7,3
2026-04-17,246193105,9,0,0
2026-04-17,856235840,9,2,1
2026-04-17,234167495,8,3,0
2026-04-17,856235840,9,1,1
2026-04-17,233192119,6,2,1
2026-04-17,856235840,9,9,6
2026-04-17,804263063,8,2,1
2026-04-17,856235840,9,5,1
2026-04-17,825051539,8,5,1
2026-04-18,300192119,8,6,3
2026-04-18,218199987,8,11,8
2026-04-18,218199987,8,8,3
2026-04-18,284001179,8,6,2
2026-04-18,256001179,9,8,3
2026-04-18,218199987,8,6,2
2026-04-18,218199987,8,13,11
2026-04-18,206200389,13,6,2
2026-04-18,300215698,8,4,3
2026-04-18,218199987,8,3,2
2026-04-18,206186153,5,1,0
2026-04-18,218199987,8,8,7
2026-04-16,216190053,9,6,1
2026-04-16,218199987,8,5,3
2026-04-16,218199987,8,6,4
2026-04-16,300230621,8,5,3
2026-04-16,218199987,8,5,3
2026-04-16,834202811,8,9,5
2026-04-16,218199987,8,7,3
2026-04-16,237210257,9,8,5
2026-04-16,218199987,8,6,4
2026-04-16,845233267,8,5,3
2026-04-16,218199987,8,5,0
2026-04-16,270234577,9,3,3
2026-04-15,218199987,8,5,3
2026-04-15,300228789,11,8,5
2026-04-14,291262621,8,5,1
2026-04-14,218199987,8,6,3
2026-04-14,218199987,8,4,1
2026-04-14,234167495,9,4,3
2026-04-14,218199987,8,12,6
2026-04-14,517254803,8,6,2
2026-04-14,218199987,8,3,2
2026-04-14,828202811,8,5,2
2026-04-12,234051539,8,6,1
2026-04-12,804262621,9,4,2
2026-04-12,848001179,8,2,1
2026-04-12,234051539,8,7,2
2026-04-12,234051539,8,4,1
2026-04-12,283199482,9,4,1
2026-04-11,517202811,8,3,1
2026-04-11,234051539,8,4,3
2026-04-11,300233267,13,8,4
2026-04-11,234051539,8,4,2
2026-04-11,256051539,8,6,1
2026-04-11,234051539,8,8,4
