PlayerNameID,급여,OVR,키
503215316,11,83,189
815189296,21,107,194
297233164,5,69,197
503222546,6,75,185
323201325,5,66,198
300210941,5,67,186
260234102,7,76,188
284183567,16,97,193
810228383,20,103,195
844215316,25,116,189
216163155,13,86,193
515262621,16,95,199
300227477,5,65,186
322230168,5,71,190
278192119,24,113,199
300242818,5,70,188
508163155,13,84,193
513262621,14,92,199
320192613,5,64,203
233150724,17,97,196
511177683,15,92,183
300235018,5,68,193
300210772,5,65,194
241210257,17,98,188
206163705,11,81,185
511209960,13,85,186
216000805,15,92,190
323140293,5,66,193
264158121,17,99,187
512221759,8,84,189
516199259,10,81,188
515243952,15,94,191
206172553,6,75,195
239210941,15,92,186
515269626,15,93,194
323150724,5,65,196
300234577,6,75,187
856252552,18,102,194
324220932,5,60,201
848048940,27,118,196
511192563,13,88,190
511200110,12,86,193
513192563,14,90,189
300263139,5,70,197
221157804,6,77,190
221200389,16,94,188
300241643,5,67,186
300202873,5,67,190
513212831,18,97,193
234163587,13,88,189
273212831,19,103,191
324256699,5,57,185
300199833,6,71,198
300071383,5,55,204
511162835,14,91,193
300254502,5,67,188
511223952,14,90,192
510221912,11,84,185
511214979,14,89,191
324264676,5,54,182
300199482,5,69,184
241212831,17,99,191
321163155,5,71,193
273234577,14,93,187
846190053,25,114,193
503193080,14,89,192
230192448,18,99,187
300238604,5,66,188
506223952,13,86,192
815215698,22,112,191
513211738,15,93,195
260198009,15,92,188
508190745,12,85,191
300238570,5,67,194
502140293,9,80,193
300250753,6,72,199
300207935,5,68,191
501179783,11,81,197
300263339,5,65,191
300223550,5,69,190
508227127,13,86,191
300186680,5,65,195
225212915,12,85,189
515251752,14,94,189
502223952,11,83,192
250192119,19,103,199
300244656,5,65,181
100238380,29,126,189
215192448,16,95,187
242234577,12,85,187
300210385,6,73,191
815204935,21,108,185
506167948,13,90,188
257203004,16,96,195
239238570,15,95,194
300191628,5,65,185
508204935,14,88,185
201193041,14,85,185
273202811,19,102,195
221199987,12,87,185
517262956,14,90,193
293191655,16,96,187
217198962,14,90,188
280226753,19,106,190
300229956,5,66,188
503167495,15,90,193
508224987,9,80,192
206199005,8,75,184
324163705,5,69,187
300224041,5,70,190
221193041,16,100,185
511228413,13,87,192
511230869,14,91,190
300146296,5,67,187
324237580,5,63,196
242177683,15,92,183
300245359,5,65,190
300240987,5,69,185
300255981,5,67,190
300189296,5,65,194
238244316,14,93,190
300244316,5,65,190
511211348,13,85,188
324252200,5,63,195
225221700,13,87,192
100048940,27,122,196
502203841,10,81,200
840163705,23,110,187
300235413,5,70,193
300220624,5,65,187
260178086,15,95,190
517201269,15,93,188
300219522,5,71,183
805210941,21,108,186
300193314,5,70,182
515209981,15,94,195
856258239,22,109,190
506192448,14,91,187
502233306,7,77,190
284150477,16,97,189
261191694,18,102,170
844224251,26,117,194
206182494,10,80,190
300235574,5,68,194
300228562,5,64,196
201139668,11,79,188
256169181,18,100,181
300232654,6,72,181
502223885,8,77,193
225228130,13,87,192
280185122,11,83,191
500193080,15,87,193
